r,c
72,10
72,11
72,12
72,13
72,14
72,15
72,16
72,17
72,18
72,19
72,20
72,21
72,22
72,23
72,24
72,25
72,26
72,27
73,28
74,29
75,30
76,31
77,32
78,33
79,34
80,35
81,36
82,37
83,38
84,39
85,40
86,41
87,42
88,43
89,44
90,45
91,46
92,47
93,48
94,49
95,50
95,51
95,52
95,53
95,54
95,55
95,56
95,57
95,58
95,59
95,60
95,61
95,62
95,63
95,64
95,65
95,66
95,67
95,68
95,69
95,70
95,71
95,72
95,73
95,74
95,75
95,76
95,77
95,78
95,79
95,80
95,81
95,82
95,83
95,84
95,85
95,86
95,87
95,88
95,89
95,90
95,91
95,92
95,93
95,94
94,95
93,96
92,97
91,98
90,99
89,100
88,101
87,102
86,103
85,104
85,105
84,106
84,107
83,108
83,109
82,110
82,111
82,112
81,113
81,114
80,115
80,116
79,117
79,118
78,119
77,120
76,121
75,122
74,123
73,124
72,125
72,126
72,127
72,128
72,129
72,130
72,131
72,132
72,133
