r,c
63,1
63,2
63,3
63,4
63,5
63,6
63,7
63,8
63,9
63,10
63,11
63,12
63,13
63,14
63,15
63,16
63,17
64,1
64,2
64,3
64,4
64,5
64,6
64,7
64,8
64,9
64,10
64,11
64,12
64,13
64,14
64,15
64,16
64,17
65,1
65,2
65,3
65,4
65,5
65,6
65,7
65,8
65,9
65,10
65,11
65,12
65,13
65,14
65,15
65,16
65,17
66,1
66,2
66,3
66,4
66,5
66,6
66,7
66,8
66,9
66,10
66,11
66,12
66,13
66,14
66,15
66,16
66,17
67,1
67,2
67,3
67,4
67,5
67,6
67,7
67,8
67,9
67,10
67,11
67,12
67,13
67,14
67,15
67,16
67,17
68,1
68,2
68,3
68,4
68,5
68,6
68,7
68,8
68,9
68,10
68,11
68,12
68,13
68,14
68,15
68,16
68,17
69,1
69,2
69,3
69,4
69,5
69,6
69,7
69,8
69,9
69,10
69,11
69,12
69,13
69,14
69,15
69,16
69,17
70,1
70,2
70,3
70,4
70,5
70,6
70,7
70,8
70,9
70,10
70,11
70,12
70,13
70,14
70,15
70,16
70,17
71,1
71,2
71,3
71,4
71,5
71,6
71,7
71,8
71,9
71,10
71,11
71,12
71,13
71,14
71,15
71,16
71,17
72,1
72,2
72,3
72,4
72,5
72,6
72,7
72,8
72,9
72,10
72,11
72,12
72,13
72,14
72,15
72,16
72,17
73,1
73,2
73,3
73,4
73,5
73,6
73,7
73,8
73,9
73,10
73,11
73,12
73,13
73,14
73,15
73,16
73,17
74,1
74,2
74,3
74,4
74,5
74,6
74,7
74,8
74,9
74,10
74,11
74,12
74,13
74,14
74,15
74,16
74,17
75,1
75,2
75,3
75,4
75,5
75,6
75,7
75,8
75,9
75,10
75,11
75,12
75,13
75,14
75,15
75,16
75,17
76,1
76,2
76,3
76,4
76,5
76,6
76,7
76,8
76,9
76,10
76,11
76,12
76,13
76,14
76,15
76,16
76,17
77,1
77,2
77,3
77,4
77,5
77,6
77,7
77,8
77,9
77,10
77,11
77,12
77,13
77,14
77,15
77,16
77,17
78,1
78,2
78,3
78,4
78,5
78,6
78,7
78,8
78,9
78,10
78,11
78,12
78,13
78,14
78,15
78,16
78,17
79,1
79,2
79,3
79,4
79,5
79,6
79,7
79,8
79,9
79,10
79,11
79,12
79,13
79,14
79,15
79,16
79,17
80,1
80,2
80,3
80,4
80,5
80,6
80,7
80,8
80,9
80,10
80,11
80,12
80,13
80,14
80,15
80,16
80,17
81,1
81,2
81,3
81,4
81,5
81,6
81,7
81,8
81,9
81,10
81,11
81,12
81,13
81,14
81,15
81,16
81,17
63,125
63,126
63,127
63,128
63,129
63,130
63,131
63,132
63,133
63,134
63,135
63,136
63,137
63,138
63,139
63,140
63,141
63,142
64,125
64,126
64,127
64,128
64,129
64,130
64,131
64,132
64,133
64,134
64,135
64,136
64,137
64,138
64,139
64,140
64,141
64,142
65,125
65,126
65,127
65,128
65,129
65,130
65,131
65,132
65,133
65,134
65,135
65,136
65,137
65,138
65,139
65,140
65,141
65,142
66,125
66,126
66,127
66,128
66,129
66,130
66,131
66,132
66,133
66,134
66,135
66,136
66,137
66,138
66,139
66,140
66,141
66,142
67,125
67,126
67,127
67,128
67,129
67,130
67,131
67,132
67,133
67,134
67,135
67,136
67,137
67,138
67,139
67,140
67,141
67,142
68,125
68,126
68,127
68,128
68,129
68,130
68,131
68,132
68,133
68,134
68,135
68,136
68,137
68,138
68,139
68,140
68,141
68,142
69,125
69,126
69,127
69,128
69,129
69,130
69,131
69,132
69,133
69,134
69,135
69,136
69,137
69,138
69,139
69,140
69,141
69,142
70,125
70,126
70,127
70,128
70,129
70,130
70,131
70,132
70,133
70,134
70,135
70,136
70,137
70,138
70,139
70,140
70,141
70,142
71,125
71,126
71,127
71,128
71,129
71,130
71,131
71,132
71,133
71,134
71,135
71,136
71,137
71,138
71,139
71,140
71,141
71,142
72,125
72,126
72,127
72,128
72,129
72,130
72,131
72,132
72,133
72,134
72,135
72,136
72,137
72,138
72,139
72,140
72,141
72,142
73,125
73,126
73,127
73,128
73,129
73,130
73,131
73,132
73,133
73,134
73,135
73,136
73,137
73,138
73,139
73,140
73,141
73,142
74,125
74,126
74,127
74,128
74,129
74,130
74,131
74,132
74,133
74,134
74,135
74,136
74,137
74,138
74,139
74,140
74,141
74,142
75,125
75,126
75,127
75,128
75,129
75,130
75,131
75,132
75,133
75,134
75,135
75,136
75,137
75,138
75,139
75,140
75,141
75,142
76,125
76,126
76,127
76,128
76,129
76,130
76,131
76,132
76,133
76,134
76,135
76,136
76,137
76,138
76,139
76,140
76,141
76,142
77,125
77,126
77,127
77,128
77,129
77,130
77,131
77,132
77,133
77,134
77,135
77,136
77,137
77,138
77,139
77,140
77,141
77,142
78,125
78,126
78,127
78,128
78,129
78,130
78,131
78,132
78,133
78,134
78,135
78,136
78,137
78,138
78,139
78,140
78,141
78,142
79,125
79,126
79,127
79,128
79,129
79,130
79,131
79,132
79,133
79,134
79,135
79,136
79,137
79,138
79,139
79,140
79,141
79,142
80,125
80,126
80,127
80,128
80,129
80,130
80,131
80,132
80,133
80,134
80,135
80,136
80,137
80,138
80,139
80,140
80,141
80,142
81,125
81,126
81,127
81,128
81,129
81,130
81,131
81,132
81,133
81,134
81,135
81,136
81,137
81,138
81,139
81,140
81,141
81,142
