y,x
22,72
22.9944,71.9032
23.9887,71.806
24.9657,71.9856
25.8747,72.402
26.7146,72.9423
27.4821,73.5828
28.2193,74.2587
28.9445,74.9469
29.6511,75.6546
30.3253,76.393
30.9735,77.1545
31.6011,77.9331
32.2127,78.7242
32.8125,79.5243
33.4042,80.3305
33.9909,81.1403
34.5755,81.9516
35.1607,82.7625
35.7491,83.5711
36.3429,84.3757
36.9445,85.1745
37.556,85.9657
38.1797,86.7474
38.8176,87.5175
39.4719,88.2737
40.1447,89.0135
40.8379,89.7342
41.5536,90.4326
42.2934,91.1052
43.0591,91.7484
43.8518,92.3579
44.6724,92.9292
45.5212,93.4577
46.3978,93.9387
47.3009,94.3676
48.2287,94.7404
49.1779,95.0543
50.1386,95.3319
51.1054,95.5873
52.0774,95.8224
53.0536,96.039
54.0335,96.2384
55.0165,96.4219
56.0022,96.5904
56.9902,96.7449
57.9802,96.8862
58.9719,97.015
59.965,97.1317
60.9595,97.237
61.955,97.3313
62.9515,97.415
63.9488,97.4885
64.9468,97.5519
65.9453,97.6056
66.9443,97.6497
67.9437,97.6845
68.9434,97.7101
69.9433,97.7265
70.9432,97.734
71.9432,97.7325
72.9432,97.722
73.943,97.7025
74.9426,97.6741
75.9419,97.6365
76.9408,97.5899
77.9392,97.5339
78.9371,97.4685
79.9343,97.3934
80.9306,97.3084
81.9261,97.2133
82.9205,97.1076
83.9137,96.9911
84.9055,96.8632
85.8956,96.7235
86.884,96.5713
87.8702,96.406
88.8541,96.2268
89.835,96.0327
90.8127,95.8226
91.7865,95.5952
92.7557,95.349
93.7194,95.0822
94.6731,94.7819
95.6043,94.4179
96.5086,93.9915
97.3832,93.5071
98.2264,92.9698
99.0376,92.3852
99.8171,91.7589
100.566,91.0964
101.286,90.4026
101.979,89.6821
102.649,88.9392
103.297,88.1774
103.926,87.4001
104.539,86.6101
105.139,85.8102
105.729,85.0029
106.312,84.1903
106.891,83.3749
107.469,82.5588
108.049,81.7446
108.636,80.9348
109.233,80.1325
109.844,79.3412
110.475,78.5653
111.131,77.8103
111.817,77.0834
112.541,76.3938
113.308,75.7525
114.114,75.1607
114.959,74.6255
115.841,74.1553
116.757,73.7537
117.697,73.415
118.653,73.121
119.614,72.8429
120.569,72.5476
121.509,72.2069
122,72
