y,x
1,62.5
2,62.5
3,62.5
4,62.5
5,62.5
6,62.5
7,62.5
8,62.5
9,62.5
10,62.5
11,62.5
12,62.5
13,62.5
14,62.5
15,62.5
16,62.5
17,62.5
1,63.5
2,63.5
3,63.5
4,63.5
5,63.5
6,63.5
7,63.5
8,63.5
9,63.5
10,63.5
11,63.5
12,63.5
13,63.5
14,63.5
15,63.5
16,63.5
17,63.5
1,64.5
2,64.5
3,64.5
4,64.5
5,64.5
6,64.5
7,64.5
8,64.5
9,64.5
10,64.5
11,64.5
12,64.5
13,64.5
14,64.5
15,64.5
16,64.5
17,64.5
1,65.5
2,65.5
3,65.5
4,65.5
5,65.5
6,65.5
7,65.5
8,65.5
9,65.5
10,65.5
11,65.5
12,65.5
13,65.5
14,65.5
15,65.5
16,65.5
17,65.5
1,66.5
2,66.5
3,66.5
4,66.5
5,66.5
6,66.5
7,66.5
8,66.5
9,66.5
10,66.5
11,66.5
12,66.5
13,66.5
14,66.5
15,66.5
16,66.5
17,66.5
1,67.5
2,67.5
3,67.5
4,67.5
5,67.5
6,67.5
7,67.5
8,67.5
9,67.5
10,67.5
11,67.5
12,67.5
13,67.5
14,67.5
15,67.5
16,67.5
17,67.5
1,68.5
2,68.5
3,68.5
4,68.5
5,68.5
6,68.5
7,68.5
8,68.5
9,68.5
10,68.5
11,68.5
12,68.5
13,68.5
14,68.5
15,68.5
16,68.5
17,68.5
1,69.5
2,69.5
3,69.5
4,69.5
5,69.5
6,69.5
7,69.5
8,69.5
9,69.5
10,69.5
11,69.5
12,69.5
13,69.5
14,69.5
15,69.5
16,69.5
17,69.5
1,70.5
2,70.5
3,70.5
4,70.5
5,70.5
6,70.5
7,70.5
8,70.5
9,70.5
10,70.5
11,70.5
12,70.5
13,70.5
14,70.5
15,70.5
16,70.5
17,70.5
1,71.5
2,71.5
3,71.5
4,71.5
5,71.5
6,71.5
7,71.5
8,71.5
9,71.5
10,71.5
11,71.5
12,71.5
13,71.5
14,71.5
15,71.5
16,71.5
17,71.5
1,72.5
2,72.5
3,72.5
4,72.5
5,72.5
6,72.5
7,72.5
8,72.5
9,72.5
10,72.5
11,72.5
12,72.5
13,72.5
14,72.5
15,72.5
16,72.5
17,72.5
1,73.5
2,73.5
3,73.5
4,73.5
5,73.5
6,73.5
7,73.5
8,73.5
9,73.5
10,73.5
11,73.5
12,73.5
13,73.5
14,73.5
15,73.5
16,73.5
17,73.5
1,74.5
2,74.5
3,74.5
4,74.5
5,74.5
6,74.5
7,74.5
8,74.5
9,74.5
10,74.5
11,74.5
12,74.5
13,74.5
14,74.5
15,74.5
16,74.5
17,74.5
1,75.5
2,75.5
3,75.5
4,75.5
5,75.5
6,75.5
7,75.5
8,75.5
9,75.5
10,75.5
11,75.5
12,75.5
13,75.5
14,75.5
15,75.5
16,75.5
17,75.5
1,76.5
2,76.5
3,76.5
4,76.5
5,76.5
6,76.5
7,76.5
8,76.5
9,76.5
10,76.5
11,76.5
12,76.5
13,76.5
14,76.5
15,76.5
16,76.5
17,76.5
1,77.5
2,77.5
3,77.5
4,77.5
5,77.5
6,77.5
7,77.5
8,77.5
9,77.5
10,77.5
11,77.5
12,77.5
13,77.5
14,77.5
15,77.5
16,77.5
17,77.5
1,78.5
2,78.5
3,78.5
4,78.5
5,78.5
6,78.5
7,78.5
8,78.5
9,78.5
10,78.5
11,78.5
12,78.5
13,78.5
14,78.5
15,78.5
16,78.5
17,78.5
1,79.5
2,79.5
3,79.5
4,79.5
5,79.5
6,79.5
7,79.5
8,79.5
9,79.5
10,79.5
11,79.5
12,79.5
13,79.5
14,79.5
15,79.5
16,79.5
17,79.5
1,80.5
2,80.5
3,80.5
4,80.5
5,80.5
6,80.5
7,80.5
8,80.5
9,80.5
10,80.5
11,80.5
12,80.5
13,80.5
14,80.5
15,80.5
16,80.5
17,80.5
1,81.5
2,81.5
3,81.5
4,81.5
5,81.5
6,81.5
7,81.5
8,81.5
9,81.5
10,81.5
11,81.5
12,81.5
13,81.5
14,81.5
15,81.5
16,81.5
17,81.5
125,62.5
126,62.5
127,62.5
128,62.5
129,62.5
130,62.5
131,62.5
132,62.5
133,62.5
134,62.5
135,62.5
136,62.5
137,62.5
138,62.5
139,62.5
140,62.5
141,62.5
142,62.5
125,63.5
126,63.5
127,63.5
128,63.5
129,63.5
130,63.5
131,63.5
132,63.5
133,63.5
134,63.5
135,63.5
136,63.5
137,63.5
138,63.5
139,63.5
140,63.5
141,63.5
142,63.5
125,64.5
126,64.5
127,64.5
128,64.5
129,64.5
130,64.5
131,64.5
132,64.5
133,64.5
134,64.5
135,64.5
136,64.5
137,64.5
138,64.5
139,64.5
140,64.5
141,64.5
142,64.5
125,65.5
126,65.5
127,65.5
128,65.5
129,65.5
130,65.5
131,65.5
132,65.5
133,65.5
134,65.5
135,65.5
136,65.5
137,65.5
138,65.5
139,65.5
140,65.5
141,65.5
142,65.5
125,66.5
126,66.5
127,66.5
128,66.5
129,66.5
130,66.5
131,66.5
132,66.5
133,66.5
134,66.5
135,66.5
136,66.5
137,66.5
138,66.5
139,66.5
140,66.5
141,66.5
142,66.5
125,67.5
126,67.5
127,67.5
128,67.5
129,67.5
130,67.5
131,67.5
132,67.5
133,67.5
134,67.5
135,67.5
136,67.5
137,67.5
138,67.5
139,67.5
140,67.5
141,67.5
142,67.5
