t_ms,dt,left_delta,right_delta,ds,dtheta_enc,imu_theta,imu_dtheta,x_pred,y_pred,theta_pred,x_est,y_est,theta_est,Pxx_pred,Pyy_pred,Ptt_pred,Pxx_est,Pyy_est,Ptt_est,innovation_theta,innovation_x,innovation_y,NIS_theta,dx_update,dy_update,dtheta_update,s_robot,s_target,ex_r,ey_r,h_err,lookahead_x,lookahead_y,vx_cmd,omega_cmd,omega_pp,v_des,adaptive_lookahead
10,0.047000,0.000000,0.000000,0.000000,0.000000,0.000097,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000078,25.000470,25.000470,0.030509,25.000470,25.000470,0.006084,0.000097,nan,nan,0.000000,0.000000,0.000000,0.000078,0.000000,3.600000,3.600000,-0.000281,-0.000078,3.600000,0.000000,0.051350,-0.000064,-0.000002,0.051350,3.600000
20,0.010000,0.000000,0.000000,0.000000,0.000000,0.000102,-0.000000,0.000000,0.000000,0.000078,0.000000,0.000000,0.000089,25.000570,25.000570,0.006094,25.000570,25.000570,0.003382,0.000024,nan,nan,0.000000,0.000000,0.000000,0.000011,0.000000,3.600000,3.600000,-0.000319,-0.000089,3.600000,0.000000,0.154051,-0.000073,-0.000008,0.154051,3.600000
30,0.010000,0.000000,0.000000,0.000000,0.000000,0.000107,-0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.000094,25.000670,25.000670,0.003392,25.000670,25.000670,0.002345,0.000019,nan,nan,0.000000,0.000000,0.000000,0.000006,0.000000,3.600000,3.600000,-0.000340,-0.000094,3.600000,0.000000,0.308102,-0.000079,-0.000016,0.308102,3.600000
40,0.010000,0.000000,0.000000,0.000000,0.000000,0.000113,-0.000000,0.000000,0.000000,0.000094,0.000000,0.000000,0.000099,25.000770,25.000770,0.002355,25.000770,25.000770,0.001798,0.000019,nan,nan,0.000000,0.000000,0.000000,0.000005,0.000000,3.600000,3.600000,-0.000356,-0.000099,3.600000,0.000000,0.513503,-0.000083,-0.000028,0.513503,3.600000
50,0.010000,0.000000,0.000000,0.000000,0.000000,0.000118,-0.000000,0.000000,0.000000,0.000099,0.000000,0.000000,0.000103,25.000870,25.000870,0.001808,25.000870,25.000870,0.001461,0.000019,nan,nan,0.000000,0.000000,0.000000,0.000004,0.000000,3.600000,3.600000,-0.000369,-0.000103,3.600000,0.000000,0.770255,-0.000088,-0.000044,0.770255,3.600000
60,0.010000,0.000000,0.000000,0.000000,0.000000,0.000120,-0.000000,0.000000,0.000000,0.000103,0.000000,0.000000,0.000105,25.000970,25.000970,0.001471,25.000970,25.000970,0.001232,0.000018,nan,nan,0.000000,0.000000,0.000000,0.000003,0.000000,3.600000,3.600000,-0.000379,-0.000105,3.600000,0.000000,1.078357,-0.000091,-0.000063,1.078357,3.600000
70,0.010000,0.000000,0.000000,0.000000,0.000000,0.000119,-0.000000,0.000000,0.000000,0.000105,0.000000,0.000000,0.000107,25.001070,25.001070,0.001242,25.001070,25.001070,0.001068,0.000014,nan,nan,0.000000,0.000000,0.000000,0.000002,0.000000,3.600000,3.600000,-0.000386,-0.000107,3.600000,0.000000,1.437809,-0.000095,-0.000086,1.437809,3.600000
80,0.010000,0.000000,0.000000,0.000000,0.000000,0.000121,-0.000000,0.000000,0.000000,0.000107,0.000000,0.000000,0.000109,25.001170,25.001170,0.001078,25.001170,25.001170,0.000944,0.000014,nan,nan,0.000000,0.000000,0.000000,0.000002,0.000000,3.600000,3.600000,-0.000393,-0.000109,3.600000,0.000000,1.848611,-0.000098,-0.000112,1.848611,3.600000
90,0.010000,0.000000,0.000000,0.000000,0.000000,0.000118,-0.000000,0.000000,0.000000,0.000109,0.000000,0.000000,0.000110,25.001270,25.001270,0.000954,25.001270,25.001270,0.000847,0.000009,nan,nan,0.000000,0.000000,0.000000,0.000001,0.000000,3.600000,3.600000,-0.000396,-0.000110,3.600000,0.000000,2.310764,-0.000102,-0.000141,2.310764,3.600000
100,0.010000,0.000000,0.000000,0.000000,0.000000,0.000117,-0.000000,0.000000,0.000000,0.000110,0.000000,0.000000,0.000111,25.001370,25.001370,0.000857,25.001370,25.001370,0.000771,0.000007,nan,nan,0.000000,0.000000,0.000000,0.000001,0.000000,3.600000,3.600000,-0.000399,-0.000111,3.600000,0.000000,2.824267,-0.000105,-0.000174,2.824267,3.600000
110,0.010000,0.000000,0.000000,0.000000,0.000000,0.000116,-0.000000,0.000000,0.000000,0.000111,0.000000,0.000000,0.000111,25.001470,25.001470,0.000781,25.001470,25.001470,0.000708,0.000005,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,3.600000,3.600000,-0.000401,-0.000111,3.600000,0.000000,3.389120,-0.000108,-0.000209,3.389121,3.600000
120,0.010000,0.000000,0.000000,0.000000,0.000000,0.000119,-0.000000,0.000000,0.000000,0.000111,0.000000,0.000000,0.000112,25.001570,25.001570,0.000718,25.001570,25.001570,0.000656,0.000008,nan,nan,0.000000,0.000000,0.000000,0.000001,0.000000,3.600000,3.600000,-0.000403,-0.000112,3.600000,0.000000,3.995988,-0.000112,-0.000249,3.995988,3.600000
130,0.010000,0.000000,0.000000,0.000000,0.000000,0.000114,-0.000000,0.000000,0.000000,0.000112,0.000000,0.000000,0.000112,25.001670,25.001670,0.000666,25.001670,25.001670,0.000612,0.000002,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,3.600000,3.600000,-0.000404,-0.000112,3.600000,0.000000,4.602855,-0.000115,-0.000287,4.602855,3.600000
140,0.010000,0.000000,0.000000,0.000000,0.000000,0.000114,-0.000000,0.000000,0.000000,0.000112,0.000000,0.000000,0.000112,25.001770,25.001770,0.000622,25.001770,25.001770,0.000575,0.000002,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,3.600000,3.600000,-0.000404,-0.000112,3.600000,0.000000,5.209722,-0.000118,-0.000325,5.209723,3.600000
150,0.010000,0.000000,0.000000,0.000000,0.000000,0.000114,-0.000000,0.000000,0.000000,0.000112,0.000000,0.000000,0.000112,25.001870,25.001870,0.000585,25.001870,25.001870,0.000543,0.000002,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,3.600000,3.600000,-0.000404,-0.000112,3.600000,0.000000,5.816590,-0.000121,-0.000363,5.816590,3.600000
160,0.010000,0.000000,0.000000,0.000000,0.000000,0.000117,-0.000000,0.000000,0.000000,0.000112,0.000000,0.000000,0.000113,25.001970,25.001970,0.000553,25.001970,25.001970,0.000516,0.000005,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,3.600000,3.600000,-0.000406,-0.000113,3.600000,0.000000,6.423457,-0.000125,-0.000402,6.423457,3.600000
170,0.010000,0.000000,0.000000,0.000000,0.000000,0.000117,-0.000000,0.000000,0.000000,0.000113,0.000000,0.000000,0.000113,25.002070,25.002070,0.000526,25.002070,25.002070,0.000492,0.000004,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,3.600000,3.600000,-0.000407,-0.000113,3.600000,0.000000,7.030324,-0.000128,-0.000441,7.030325,3.600000
180,0.010000,0.000000,0.000000,0.000000,0.000000,0.000138,0.000043,0.000000,0.000000,0.000156,0.000000,0.000000,0.000154,25.002170,25.002170,0.000502,25.002170,25.002170,0.000471,-0.000018,nan,nan,0.000000,0.000000,0.000000,-0.000001,0.000000,3.600000,3.600000,-0.000556,-0.000154,3.600000,0.000000,7.637191,-0.000179,-0.000655,7.637192,3.600000
190,0.010000,0.000000,0.000000,0.000000,0.000000,0.000212,0.000080,0.000000,0.000000,0.000234,0.000000,0.000000,0.000233,25.002270,25.002270,0.000481,25.002270,25.002270,0.000452,-0.000023,nan,nan,0.000000,0.000000,0.000000,-0.000001,0.000000,3.600000,3.600000,-0.000839,-0.000233,3.600000,0.000000,8.244056,-0.000276,-0.001067,8.244059,3.600000
200,0.010000,0.000000,0.000000,0.000000,0.000000,0.000280,0.000069,0.000000,0.000000,0.000302,0.000000,0.000000,0.000301,25.002370,25.002370,0.000462,25.002370,25.002370,0.000436,-0.000022,nan,nan,0.000000,0.000000,0.000000,-0.000001,0.000000,3.600000,3.600000,-0.001084,-0.000301,3.600000,0.000000,8.850921,-0.000365,-0.001480,8.850927,3.600000
210,0.010000,0.002931,0.000000,0.001466,-0.000201,0.000310,-0.000000,0.001466,0.000000,0.000301,0.001466,0.000000,0.000301,25.002470,25.002470,0.000446,25.002470,25.002470,0.000421,0.000009,nan,nan,0.000000,-0.000000,0.000000,0.000000,0.001466,3.601466,3.600000,-0.001086,-0.000301,3.601466,0.000000,9.457788,-0.000374,-0.001585,9.457794,3.600000
220,0.010000,0.000000,0.012071,0.006035,0.000827,0.000079,-0.000304,0.007501,0.000002,-0.000002,0.007501,0.000002,0.000002,25.002570,25.002570,0.000431,25.002570,25.002570,0.000408,0.000081,nan,nan,0.000001,-0.000000,0.000000,0.000004,0.007501,3.607501,3.600000,-0.000010,-0.000002,3.607501,0.000000,10.064661,-0.000003,-0.000016,10.064661,3.600000
230,0.010000,0.028797,0.000000,0.014399,-0.001972,-0.000322,-0.000394,0.021900,0.000002,-0.000392,0.021900,0.000002,-0.000388,25.002670,25.002670,0.000418,25.002670,25.002670,0.000396,0.000070,nan,nan,0.000001,-0.000000,0.000000,0.000004,0.021900,3.621900,3.600000,0.001396,0.000388,3.621900,0.000000,10.671518,0.000502,0.002298,10.671529,3.600000
240,0.010000,0.000000,0.025866,0.012933,0.001772,-0.000708,-0.000357,0.034833,-0.000003,-0.000745,0.034833,-0.000003,-0.000743,25.002770,25.002770,0.000406,25.002770,25.002770,0.000385,0.000037,nan,nan,0.000000,0.000000,0.000000,0.000002,0.034833,3.634833,3.599999,0.002678,0.000743,3.634833,0.000000,11.278353,0.000982,0.004662,11.278396,3.600000
250,0.010000,0.042420,0.000000,0.021210,-0.002905,-0.001005,-0.000277,0.056043,-0.000018,-0.001020,0.056043,-0.000018,-0.001020,25.002870,25.002871,0.000395,25.002870,25.002871,0.000376,0.000015,nan,nan,0.000000,0.000000,0.000000,0.000001,0.056043,3.656043,3.599998,0.003689,0.001020,3.656043,0.000000,11.885177,0.001377,0.006765,11.885264,3.600000
260,0.010000,0.000000,0.037936,0.018968,0.002598,-0.001188,-0.000138,0.075011,-0.000038,-0.001158,0.075011,-0.000038,-0.001159,25.002970,25.002972,0.000386,25.002970,25.002972,0.000367,-0.000030,nan,nan,0.000000,-0.000000,-0.000000,-0.000001,0.075011,3.675011,3.599998,0.004212,0.001159,3.675011,0.000000,12.492012,0.001600,0.008119,12.492131,3.600000
270,0.010000,0.069838,0.000000,0.034919,-0.004783,-0.001175,0.000075,0.109930,-0.000078,-0.001085,0.109930,-0.000079,-0.001089,25.003070,25.003074,0.000377,25.003070,25.003074,0.000359,-0.000090,nan,nan,0.000001,-0.000000,-0.000000,-0.000004,0.109930,3.709930,3.599998,0.004000,0.001089,3.709930,0.000000,13.098886,0.001540,0.008085,13.098998,3.600000
280,0.010000,0.000000,0.058974,0.029487,0.004039,-0.001027,0.000181,0.139416,-0.000111,-0.000908,0.139416,-0.000111,-0.000914,25.003170,25.003176,0.000369,25.003170,25.003176,0.000352,-0.000119,nan,nan,0.000002,-0.000000,-0.000001,-0.000006,0.139416,3.739416,3.599998,0.003400,0.000914,3.739416,0.000000,13.705782,0.001324,0.007192,13.705866,3.600000
290,0.010000,0.090875,0.000000,0.045438,-0.006224,-0.000786,0.000261,0.184854,-0.000153,-0.000653,0.184854,-0.000154,-0.000659,25.003270,25.003281,0.000362,25.003270,25.003281,0.000346,-0.000133,nan,nan,0.000002,-0.000000,-0.000001,-0.000006,0.184854,3.784854,3.599999,0.002525,0.000659,3.784854,0.000000,14.312685,0.000986,0.005577,14.312733,3.600000
300,0.010000,0.000000,0.101566,0.050783,0.006957,-0.000562,0.000202,0.235637,-0.000187,-0.000456,0.235637,-0.000188,-0.000461,25.003370,25.003387,0.000356,25.003370,25.003387,0.000340,-0.000106,nan,nan,0.000001,-0.000000,-0.000001,-0.000005,0.235637,3.835637,3.600000,0.001848,0.000461,3.835637,0.000000,14.919574,0.000718,0.004255,14.919600,3.600000
310,0.010000,0.122776,0.000000,0.061388,-0.008409,-0.000375,0.000208,0.297025,-0.000217,-0.000253,0.297025,-0.000218,-0.000259,25.003470,25.003497,0.000350,25.003470,25.003496,0.000334,-0.000122,nan,nan,0.000002,-0.000000,-0.000001,-0.000005,0.297025,3.897025,3.600000,0.001149,0.000259,3.897025,0.000000,15.526457,0.000432,0.002753,15.526468,3.600000
320,0.010000,0.000000,0.137951,0.068975,0.009449,-0.000146,0.000240,0.366001,-0.000236,-0.000019,0.366001,-0.000238,-0.000024,25.003570,25.003610,0.000344,25.003570,25.003608,0.000330,-0.000127,nan,nan,0.000002,-0.000000,-0.000002,-0.000006,0.366001,3.966001,3.600000,0.000326,0.000024,3.966001,0.000000,16.133334,0.000085,0.000811,16.133335,3.600000
330,0.010000,0.184854,0.000000,0.092427,-0.012661,0.000044,0.000218,0.458428,-0.000240,0.000194,0.458428,-0.000243,0.000188,25.003670,25.003731,0.000340,25.003670,25.003728,0.000325,-0.000150,nan,nan,0.000003,-0.000000,-0.000003,-0.000006,0.458428,4.058428,3.600000,-0.000433,-0.000188,4.058428,0.000000,16.740200,-0.000243,-0.001118,16.740202,3.600000
340,0.010000,0.000000,0.189510,0.094755,0.012980,0.000315,0.000320,0.553183,-0.000225,0.000507,0.553183,-0.000229,0.000499,25.003770,25.003856,0.000335,25.003770,25.003853,0.000321,-0.000192,nan,nan,0.000005,-0.000000,-0.000004,-0.000008,0.553183,4.153183,3.600000,-0.001568,-0.000499,4.153183,0.000000,17.347045,-0.000745,-0.004197,17.347070,3.600000
350,0.010000,0.239517,0.000000,0.119759,-0.016405,0.000555,0.000256,0.672941,-0.000169,0.000755,0.672941,-0.000174,0.000746,25.003870,25.003995,0.000331,25.003870,25.003990,0.000317,-0.000200,nan,nan,0.000005,-0.000000,-0.000005,-0.000008,0.672941,4.272941,3.599999,-0.002513,-0.000746,4.272941,0.000000,17.953874,-0.001169,-0.006963,17.953937,3.600000
360,0.010000,0.000000,0.248484,0.124242,0.017019,0.000724,0.000186,0.797183,-0.000081,0.000933,0.797183,-0.000087,0.000924,25.003970,25.004141,0.000327,25.003970,25.004135,0.000314,-0.000209,nan,nan,0.000006,-0.000000,-0.000006,-0.000009,0.797183,4.397183,3.599999,-0.003240,-0.000924,4.397183,0.000000,18.560698,-0.001500,-0.009280,18.560804,3.600000
370,0.010000,0.262107,0.000000,0.131053,-0.017953,0.000815,0.000112,0.928236,0.000034,0.001036,0.928236,0.000027,0.001027,25.004070,25.004297,0.000324,25.004070,25.004289,0.000310,-0.000221,nan,nan,0.000006,0.000000,-0.000007,-0.000009,0.928236,4.528236,3.599998,-0.003724,-0.001027,4.528236,0.000000,19.167529,-0.001723,-0.011015,19.167672,3.600000
380,0.010000,0.000000,0.233482,0.116741,0.015992,0.000844,-0.000000,1.044977,0.000147,0.001027,1.044977,0.000140,0.001020,25.004170,25.004451,0.000320,25.004170,25.004440,0.000307,-0.000183,nan,nan,0.000004,0.000000,-0.000007,-0.000007,1.044977,4.644977,3.599998,-0.003811,-0.001020,4.644977,0.000000,19.774387,-0.001766,-0.011628,19.774539,3.600000
390,0.010000,0.286593,0.000000,0.143296,-0.019630,0.000846,-0.000000,1.188274,0.000286,0.001020,1.188274,0.000279,0.001013,25.004270,25.004625,0.000317,25.004270,25.004612,0.000305,-0.000174,nan,nan,0.000004,0.000000,-0.000007,-0.000007,1.188274,4.788274,3.599998,-0.003925,-0.001013,4.788274,0.000000,20.381243,-0.001818,-0.012344,20.381406,3.600000
400,0.010000,0.000000,0.284868,0.142434,0.019512,0.000774,-0.000059,1.330708,0.000423,0.000954,1.330708,0.000416,0.000947,25.004370,25.004805,0.000315,25.004370,25.004789,0.000302,-0.000180,nan,nan,0.000004,0.000000,-0.000008,-0.000007,1.330708,4.930708,3.599998,-0.003824,-0.000947,4.930708,0.000000,20.988117,-0.001767,-0.012387,20.988274,3.600000
410,0.010000,0.321253,0.000000,0.160626,-0.022004,0.000683,-0.000075,1.491334,0.000568,0.000872,1.491334,0.000559,0.000865,25.004470,25.005004,0.000312,25.004470,25.004986,0.000300,-0.000189,nan,nan,0.000005,0.000000,-0.000009,-0.000007,1.491334,5.091334,3.599998,-0.003672,-0.000865,5.091334,0.000000,21.594995,-0.001688,-0.012237,21.595141,3.600000
